Rank_by_RMSE,Model,Z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage,Rhat_mu,Rhat_tau,tau_accept_rate,Method_Type
1,MICE-style iterative regression,,,,,,1.681353368294812,-0.0586376178746888,1.6821481129908267,,,,,Comparison method
2,Gaussian Naive Bayes,,,,,,1.7145470924005723,0.013584667223946972,1.71634778388837,,,,,Comparison method
3,Naive mean,,,,,,1.7498964502585075,0.0803020635253511,1.749943773677618,,,,,Comparison method
4,Ind_FixedZ0p9_muSD10_HC1p0_sigY1p7_sigC1p02,0.9,10.0,1.0,1.6975639410640113,1.0185383646384067,1.7715946783558068,-0.08000261083463985,1.7717016752884,0.9287257019438445,1.0333518217312785,2.8422311391031507,0.185,Bayesian independent fixed Z
5,Ind_FixedZ0p9_muSD5_HC1p0_sigY1p7_sigC1p02,0.9,5.0,1.0,1.6975639410640113,1.0185383646384067,1.7715947351972243,-0.08000386953309518,1.7717016752884,0.9287257019438445,1.0333534302771465,2.8422311391031507,0.185,Bayesian independent fixed Z
6,Ind_FixedZ0p9_muSD5_HC2p5_sigY1p7_sigC1p19,0.9,5.0,2.5,1.6975639410640113,1.1882947587448078,1.7716213048865492,0.1101001554634359,1.7701094211969508,0.9330453563714903,1.8243245420553993,6.407261954003062,0.20350000000000001,Bayesian independent fixed Z
7,Ind_FixedZ0p9_muSD10_HC2p5_sigY1p7_sigC1p19,0.9,10.0,2.5,1.6975639410640113,1.1882947587448078,1.771621986776824,0.11011112721343823,1.7701094211969508,0.9330453563714903,1.8243972587793005,6.407261954003062,0.20350000000000001,Bayesian independent fixed Z
8,Ind_FixedZ0p9_muSD5_HC2p5_sigY1p36_sigC1p02,0.9,5.0,2.5,1.3580511528512091,1.0185383646384067,1.771656527616155,0.13498293892204838,1.7684176225110873,0.8898488120950324,0.9994967411324812,1.0087718308407343,0.2255,Bayesian independent fixed Z
9,Ind_FixedZ0p9_muSD10_HC2p5_sigY1p36_sigC1p02,0.9,10.0,2.5,1.3580511528512091,1.0185383646384067,1.7716572446199792,0.13499234930009346,1.7684176225110873,0.8898488120950324,0.9994967286204255,1.0087718308407343,0.2255,Bayesian independent fixed Z
10,Ind_FixedZ0p9_muSD5_HC2p5_sigY2p04_sigC1p02,0.9,5.0,2.5,2.0370767292768135,1.0185383646384067,1.7717442091218483,0.1469677014210605,1.7675479697183125,0.9697624190064795,1.2744298928697677,1.1748908689002204,0.20450000000000002,Bayesian independent fixed Z
11,Ind_FixedZ0p9_muSD10_HC2p5_sigY2p04_sigC1p02,0.9,10.0,2.5,2.0370767292768135,1.0185383646384067,1.7717454842698332,0.14698307295308552,1.7675479697183125,0.9697624190064795,1.2744371321572188,1.1748908689002204,0.20450000000000002,Bayesian independent fixed Z
12,Ind_FixedZ0p9_muSD5_HC2p5_sigY1p36_sigC1p19,0.9,5.0,2.5,1.3580511528512091,1.1882947587448078,1.771907801446202,0.1198065056557246,1.769765064792784,0.8898488120950324,1.3880881298296786,4.575721285876681,0.179,Bayesian independent fixed Z
13,Ind_FixedZ0p9_muSD10_HC2p5_sigY1p36_sigC1p19,0.9,10.0,2.5,1.3580511528512091,1.1882947587448078,1.7719084174419184,0.1198156157311983,1.769765064792784,0.8898488120950324,1.3881093766783243,4.575721285876681,0.179,Bayesian independent fixed Z
